,عنوان,مدرس,آموزشگاه,لینک,قیمت,ساعت,جلسات
70,آموزش رایگان رابط گرافیکی Tkinter پایتون,علی بیگدلی,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%D8%B1%D8%A7%D8%A8%D8%B7-%DA%AF%D8%B1%D8%A7%D9%81%DB%8C%DA%A9%DB%8C-Tkinter-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-mk1152/,0,0,44
1,آموزش رایگان زبان برنامه‌نویسی جاوا,محمد امین فضلی,دانشگاه صنعتی شریف,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%D8%B2%D8%A8%D8%A7%D9%86-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3%DB%8C-%D8%AC%D8%A7%D9%88%D8%A7-mk1158/,0,0,58
57,آموزش رایگان شیءگرایی در پایتون,حمید دانشجو,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%D8%B4%DB%8C-%DA%AF%D8%B1%D8%A7%DB%8C%DB%8C-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-mk1211/,0,0,28
52,آموزش رایگان مباحث پیشرفته پایتون,علی بیگدلی,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%D9%85%D8%A8%D8%A7%D8%AD%D8%AB-%D9%BE%DB%8C%D8%B4%D8%B1%D9%81%D8%AA%D9%87-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-mk1153/,0,0,32
18,آموزش رایگان مبانی برنامه‌نویسی,محمد امین فضلی,دانشگاه صنعتی شریف,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%D9%85%D8%A8%D8%A7%D9%86%DB%8C-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3%DB%8C-mk1342/,0,0,18
72,آموزش رایگان مبانی برنامه‌نویسی برای همه,حمیدرضا حسین‌خانی,دانشگاه صنعتی شریف,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%D9%85%D8%A8%D8%A7%D9%86%DB%8C-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3%DB%8C-%D8%A8%D8%B1%D8%A7%DB%8C-%D9%87%D9%85%D9%87-mk1181/,0,0,32
68,آموزش رایگان پایتون (Python),,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-mk66/,0,0,86
17,آموزش رایگان پایتون مقدماتی,علی مس فروش,آکادمی دکتر مس‌فروش,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-%D9%85%D9%82%D8%AF%D9%85%D8%A7%D8%AA%DB%8C-mk674/,0,0,202
0,آموزش رایگان پایتون کاربردی,سروش حیدری پهلویان,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-%DA%A9%D8%A7%D8%B1%D8%A8%D8%B1%D8%AF%DB%8C-mk1352/,0,0,18
62,آموزش رایگان پروژه‌های کاربردی پایتون,علی بیگدلی,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%D9%BE%D8%B1%D9%88%DA%98%D9%87%D9%87%D8%A7%DB%8C-%DA%A9%D8%A7%D8%B1%D8%A8%D8%B1%D8%AF%DB%8C-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-mk1151/,0,0,4
47,آموزش رایگان کار با فایل‌ها در پایتون,حمید دانشجو,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%DA%A9%D8%A7%D8%B1-%D9%81%D8%A7%DB%8C%D9%84-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-mk1210/,0,0,18
27,آموزش رایگان یادگیری ماشین با پایتون,پویان راجیان,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%DB%8C%D8%A7%D8%AF%DA%AF%DB%8C%D8%B1%DB%8C-%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-mk1156/,0,0,128
64,آموزش رایگان یادگیری ماشین برای بیوانفورماتیک,علی شریفی زارچی - محمدحسین رهبان,دانشگاه صنعتی شریف,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%DB%8C%D8%A7%D8%AF%DA%AF%DB%8C%D8%B1%DB%8C-%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%A8%DB%8C%D9%88%D8%A7%D9%86%D9%81%D9%88%D8%B1%D9%85%D8%A7%D8%AA%DB%8C%DA%A9-mk663/,0,0,64
15,آموزش زبان برنامه نویسی AWK,وحید نائینی,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B2%D8%A8%D8%A7%D9%86-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3%DB%8C-AWK-mk1007/,0,0,4
37,آموزش زبان برنامه‌نویسی Golang,صابر مسگری,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B2%D8%A8%D8%A7%D9%86-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3%DB%8C-Golang-mk732/,319000,0,106
50,آموزش شی گرایی در جاوا اسکریپت پروژه محور,علی شیخ,وب ‌پروگ,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B4%DB%8C-%DA%AF%D8%B1%D8%A7%DB%8C%DB%8C-%D8%AF%D8%B1-%D8%AC%D8%A7%D9%88%D8%A7-%D8%A7%D8%B3%DA%A9%D8%B1%DB%8C%D9%BE%D8%AA-mk1106/,0,0,32
40,"آموزش طراحی وب‌سایت با پایتون و جنگو (python, django)",,,https://maktabkhooneh.org/career/%D8%B7%D8%B1%D8%A7%D8%AD%DB%8C-%D9%88%D8%A8-%D8%B3%D8%A7%DB%8C%D8%AA-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-%D8%AC%D9%86%DA%AF%D9%88-mk12/,0,0,0
24,آموزش فریم‌ورک React JS,سورنا سلیمانی,دانشگاه صنعتی شریف,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D9%81%D8%B1%DB%8C%D9%85%D9%88%D8%B1%DA%A9-Reactjs-mk401/,279000,0,80
36,آموزش مبانی برنامه‌نویسی پایتون,حمید دانشجو,مکتب‌خونه,https://maktabkhooneh.org/course/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B1%D8%A7%DB%8C%DA%AF%D8%A7%D9%86-%D9%85%D8%A8%D8%A7%D9%86%DB%8C-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3%DB%8C-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-mk1209/,79000,0,102
